Rank,Name,Pct.,Rank,Num.,Pct.
508,Ball,0.02%,-142,"-11,502",-14.80%
509,Tyler,0.02%,-32,"+3,522",+5.6%
510,Suarez,0.02%,+148,"+18,778",+39.8%
511,Bowers,0.02%,-45,"+1,507",+2.3%
512,Orozco,0.02%,+178,"+20,615",+45.5%
513,Salas,0.02%,+130,"+17,186",+35.6%
514,Cobb,0.02%,-42,"+1,386",+2.2%
515,Gibbs,0.02%,-37,"+2,550",+4.1%
516,Andrade,0.02%,+150,"+18,335",+39.3%
517,Bauer,0.02%,-33,"+3,025",+4.9%
518,Conner,0.02%,-38,"+2,237",+3.6%
519,Moody,0.02%,-40,"+2,085",+3.3%
